country,continent,year,life_expectancy,population_millions,gdp_per_capita
Afghanistan,Asia,1952,28.801,8.425333e-06,779.4453145
Afghanistan,Asia,1957,30.332,9.240934e-06,820.8530296
Afghanistan,Asia,1962,31.997,1.0267082999999999e-05,853.10071
Afghanistan,Asia,1967,34.02,1.1537966e-05,836.1971382
Afghanistan,Asia,1972,36.088,1.307946e-05,739.9811058
Afghanistan,Asia,1977,38.438,1.4880371999999999e-05,786.11336
Afghanistan,Asia,1982,39.854,1.2881816000000001e-05,978.0114388
Afghanistan,Asia,1987,40.822,1.3867957e-05,852.3959448
Afghanistan,Asia,1992,41.674,1.6317921e-05,649.3413952
Afghanistan,Asia,1997,41.763,2.2227415e-05,635.341351
Afghanistan,Asia,2002,42.129,2.5268405e-05,726.7340548
Afghanistan,Asia,2007,43.828,3.1889923e-05,974.5803384
Albania,Europe,1952,55.23,1.282697e-06,1601.056136
Albania,Europe,1957,59.28,1.4765049999999999e-06,1942.284244
Albania,Europe,1962,64.82,1.728137e-06,2312.888958
Albania,Europe,1967,66.22,1.98406e-06,2760.196931
Albania,Europe,1972,67.69,2.2635540000000002e-06,3313.422188
Albania,Europe,1977,68.93,2.509048e-06,3533.00391
Albania,Europe,1982,70.42,2.780097e-06,3630.880722
Albania,Europe,1987,72.0,3.0753210000000004e-06,3738.932735
Albania,Europe,1992,71.581,3.3264979999999998e-06,2497.437901
Albania,Europe,1997,72.95,3.428038e-06,3193.054604
Albania,Europe,2002,75.651,3.5085120000000003e-06,4604.211737
Albania,Europe,2007,76.423,3.600523e-06,5937.029526
Algeria,Africa,1952,43.077,9.279525e-06,2449.008185
Algeria,Africa,1957,45.685,1.0270856e-05,3013.976023
Algeria,Africa,1962,48.303,1.1000948e-05,2550.81688
Algeria,Africa,1967,51.407,1.2760499e-05,3246.991771
Algeria,Africa,1972,54.518,1.4760787e-05,4182.663766
Algeria,Africa,1977,58.014,1.7152804e-05,4910.416756
Algeria,Africa,1982,61.368,2.0033753e-05,5745.160213
Algeria,Africa,1987,65.799,2.3254956e-05,5681.358539
Algeria,Africa,1992,67.744,2.6298373e-05,5023.216647
Algeria,Africa,1997,69.152,2.9072015e-05,4797.295051
Algeria,Africa,2002,70.994,3.1287142e-05,5288.040382
Algeria,Africa,2007,72.301,3.3333216e-05,6223.367465
Angola,Africa,1952,30.015,4.232095e-06,3520.610273
Angola,Africa,1957,31.999,4.561361e-06,3827.940465
Angola,Africa,1962,34.0,4.826015e-06,4269.276742
Angola,Africa,1967,35.985,5.2474689999999995e-06,5522.776375
Angola,Africa,1972,37.928,5.894858e-06,5473.288005
Angola,Africa,1977,39.483,6.162675e-06,3008.647355
Angola,Africa,1982,39.942,7.016384000000001e-06,2756.953672
Angola,Africa,1987,39.906,7.87423e-06,2430.208311
Angola,Africa,1992,40.647,8.735988000000001e-06,2627.845685
Angola,Africa,1997,40.963,9.875024e-06,2277.140884
Angola,Africa,2002,41.003,1.0866106e-05,2773.287312
Angola,Africa,2007,42.731,1.2420476e-05,4797.231267
Argentina,Americas,1952,62.485,1.7876956e-05,5911.315053
Argentina,Americas,1957,64.399,1.9610538e-05,6856.856212
Argentina,Americas,1962,65.142,2.1283783e-05,7133.166023
Argentina,Americas,1967,65.634,2.2934225e-05,8052.953021
Argentina,Americas,1972,67.065,2.4779799e-05,9443.038526
Argentina,Americas,1977,68.481,2.6983828e-05,10079.02674
Argentina,Americas,1982,69.942,2.9341374e-05,8997.897412
Argentina,Americas,1987,70.774,3.1620918e-05,9139.671389
Argentina,Americas,1992,71.868,3.3958947e-05,9308.41871
Argentina,Americas,1997,73.275,3.6203463e-05,10967.28195
Argentina,Americas,2002,74.34,3.8331121e-05,8797.640716
Argentina,Americas,2007,75.32,4.0301927e-05,12779.37964
Australia,Oceania,1952,69.12,8.691212e-06,10039.59564
Australia,Oceania,1957,70.33,9.712569000000001e-06,10949.64959
Australia,Oceania,1962,70.93,1.0794968e-05,12217.22686
Australia,Oceania,1967,71.1,1.1872264e-05,14526.12465
Australia,Oceania,1972,71.93,1.3177e-05,16788.62948
Australia,Oceania,1977,73.49,1.40741e-05,18334.19751
Australia,Oceania,1982,74.74,1.5184200000000001e-05,19477.00928
Australia,Oceania,1987,76.32,1.6257249e-05,21888.88903
Australia,Oceania,1992,77.56,1.7481977e-05,23424.76683
Australia,Oceania,1997,78.83,1.8565242999999997e-05,26997.93657
Australia,Oceania,2002,80.37,1.9546792e-05,30687.75473
Australia,Oceania,2007,81.235,2.0434176e-05,34435.36744
Austria,Europe,1952,66.8,6.927772e-06,6137.076492
Austria,Europe,1957,67.48,6.96586e-06,8842.59803
Austria,Europe,1962,69.54,7.129864000000001e-06,10750.72111
Austria,Europe,1967,70.14,7.376998e-06,12834.6024
Austria,Europe,1972,70.63,7.544201e-06,16661.6256
Austria,Europe,1977,72.17,7.56843e-06,19749.4223
Austria,Europe,1982,73.18,7.574613e-06,21597.08362
Austria,Europe,1987,74.94,7.578903e-06,23687.82607
Austria,Europe,1992,76.04,7.914969e-06,27042.01868
Austria,Europe,1997,77.51,8.069876000000001e-06,29095.92066
Austria,Europe,2002,78.98,8.148312e-06,32417.60769
Austria,Europe,2007,79.829,8.199783e-06,36126.4927
Bahrain,Asia,1952,50.939,1.20447e-07,9867.084765
Bahrain,Asia,1957,53.832,1.38655e-07,11635.79945
Bahrain,Asia,1962,56.923,1.7186299999999998e-07,12753.27514
Bahrain,Asia,1967,59.923,2.02182e-07,14804.6727
Bahrain,Asia,1972,63.3,2.308e-07,18268.65839
Bahrain,Asia,1977,65.593,2.9741e-07,19340.10196
Bahrain,Asia,1982,69.052,3.77967e-07,19211.14731
Bahrain,Asia,1987,70.75,4.54612e-07,18524.02406
Bahrain,Asia,1992,72.601,5.29491e-07,19035.57917
Bahrain,Asia,1997,73.925,5.985610000000001e-07,20292.01679
Bahrain,Asia,2002,74.795,6.56397e-07,23403.55927
Bahrain,Asia,2007,75.635,7.08573e-07,29796.04834
Bangladesh,Asia,1952,37.484,4.6886859e-05,684.2441716
Bangladesh,Asia,1957,39.348,5.1365468e-05,661.6374577
Bangladesh,Asia,1962,41.216,5.6839289e-05,686.3415538
Bangladesh,Asia,1967,43.453,6.282188399999999e-05,721.1860862
Bangladesh,Asia,1972,45.252,7.075929499999999e-05,630.2336265
Bangladesh,Asia,1977,46.923,8.042830600000001e-05,659.8772322
Bangladesh,Asia,1982,50.009,9.3074406e-05,676.9818656
Bangladesh,Asia,1987,52.819,0.000103764241,751.9794035
Bangladesh,Asia,1992,56.018,0.000113704579,837.8101643
Bangladesh,Asia,1997,59.412,0.000123315288,972.7700352
Bangladesh,Asia,2002,62.013,0.00013565679,1136.39043
Bangladesh,Asia,2007,64.062,0.000150448339,1391.253792
Belgium,Europe,1952,68.0,8.730404999999999e-06,8343.105127
Belgium,Europe,1957,69.24,8.989111e-06,9714.960623
Belgium,Europe,1962,70.25,9.218400000000001e-06,10991.20676
Belgium,Europe,1967,70.94,9.556499999999999e-06,13149.04119
Belgium,Europe,1972,71.44,9.7091e-06,16672.14356
Belgium,Europe,1977,72.8,9.8218e-06,19117.97448
Belgium,Europe,1982,73.93,9.856303e-06,20979.84589
Belgium,Europe,1987,75.35,9.8702e-06,22525.56308
Belgium,Europe,1992,76.46,1.0045622e-05,25575.57069
Belgium,Europe,1997,77.53,1.0199787000000001e-05,27561.19663
Belgium,Europe,2002,78.32,1.031197e-05,30485.88375
Belgium,Europe,2007,79.441,1.0392226000000001e-05,33692.60508
Benin,Africa,1952,38.223,1.7383150000000001e-06,1062.7522
Benin,Africa,1957,40.358,1.925173e-06,959.6010805
Benin,Africa,1962,42.618,2.151895e-06,949.4990641
Benin,Africa,1967,44.885,2.427334e-06,1035.831411
Benin,Africa,1972,47.014,2.7614070000000003e-06,1085.796879
Benin,Africa,1977,49.19,3.1682670000000004e-06,1029.161251
Benin,Africa,1982,50.904,3.641603e-06,1277.897616
Benin,Africa,1987,52.337,4.2437880000000004e-06,1225.85601
Benin,Africa,1992,53.919,4.981671000000001e-06,1191.207681
Benin,Africa,1997,54.777,6.0660800000000005e-06,1232.975292
Benin,Africa,2002,54.406,7.026112999999999e-06,1372.877931
Benin,Africa,2007,56.728,8.078314e-06,1441.284873
Bolivia,Americas,1952,40.414,2.883315e-06,2677.326347
Bolivia,Americas,1957,41.89,3.211738e-06,2127.686326
Bolivia,Americas,1962,43.428,3.593918e-06,2180.972546
Bolivia,Americas,1967,45.032,4.040664999999999e-06,2586.886053
Bolivia,Americas,1972,46.714,4.565872e-06,2980.331339
Bolivia,Americas,1977,50.023,5.079716e-06,3548.097832
Bolivia,Americas,1982,53.859,5.642224e-06,3156.510452
Bolivia,Americas,1987,57.251,6.156368999999999e-06,2753.69149
Bolivia,Americas,1992,59.957,6.8934509999999994e-06,2961.699694
Bolivia,Americas,1997,62.05,7.693188e-06,3326.143191
Bolivia,Americas,2002,63.883,8.445134e-06,3413.26269
Bolivia,Americas,2007,65.554,9.119152e-06,3822.137084
Bosnia and Herzegovina,Europe,1952,53.82,2.791e-06,973.5331948
Bosnia and Herzegovina,Europe,1957,58.45,3.076e-06,1353.989176
Bosnia and Herzegovina,Europe,1962,61.93,3.349e-06,1709.683679
Bosnia and Herzegovina,Europe,1967,64.79,3.585e-06,2172.352423
Bosnia and Herzegovina,Europe,1972,67.45,3.819e-06,2860.16975
Bosnia and Herzegovina,Europe,1977,69.86,4.086e-06,3528.481305
Bosnia and Herzegovina,Europe,1982,70.69,4.172693e-06,4126.613157
Bosnia and Herzegovina,Europe,1987,71.14,4.338977e-06,4314.114757
Bosnia and Herzegovina,Europe,1992,72.178,4.256013e-06,2546.781445
Bosnia and Herzegovina,Europe,1997,73.244,3.6070000000000004e-06,4766.355904
Bosnia and Herzegovina,Europe,2002,74.09,4.1654159999999996e-06,6018.975239
Bosnia and Herzegovina,Europe,2007,74.852,4.552198e-06,7446.298803
Botswana,Africa,1952,47.622,4.42308e-07,851.2411407
Botswana,Africa,1957,49.618,4.74639e-07,918.2325349
Botswana,Africa,1962,51.52,5.127639999999999e-07,983.6539764
Botswana,Africa,1967,53.298,5.535409999999999e-07,1214.709294
Botswana,Africa,1972,56.024,6.19351e-07,2263.611114
Botswana,Africa,1977,59.319,7.81472e-07,3214.857818
Botswana,Africa,1982,61.484,9.703469999999999e-07,4551.14215
Botswana,Africa,1987,63.622,1.151184e-06,6205.88385
Botswana,Africa,1992,62.745,1.342614e-06,7954.111645
Botswana,Africa,1997,52.556,1.536536e-06,8647.142313
Botswana,Africa,2002,46.634,1.630347e-06,11003.60508
Botswana,Africa,2007,50.728,1.639131e-06,12569.85177
Brazil,Americas,1952,50.917,5.6602559999999996e-05,2108.944355
Brazil,Americas,1957,53.285,6.555117099999999e-05,2487.365989
Brazil,Americas,1962,55.665,7.603939e-05,3336.585802
Brazil,Americas,1967,57.632,8.8049823e-05,3429.864357
Brazil,Americas,1972,59.504,0.000100840058,4985.711467
Brazil,Americas,1977,61.489,0.00011431395100000001,6660.118654
Brazil,Americas,1982,63.336,0.000128962939,7030.835878
Brazil,Americas,1987,65.205,0.000142938076,7807.095818
Brazil,Americas,1992,67.057,0.00015597597400000002,6950.283021
Brazil,Americas,1997,69.388,0.000168546719,7957.980824
Brazil,Americas,2002,71.006,0.00017991421199999998,8131.212843
Brazil,Americas,2007,72.39,0.000190010647,9065.800825
Bulgaria,Europe,1952,59.6,7.2749e-06,2444.286648
Bulgaria,Europe,1957,66.61,7.651254e-06,3008.670727
Bulgaria,Europe,1962,69.51,8.012946e-06,4254.337839
Bulgaria,Europe,1967,70.42,8.310226e-06,5577.0028
Bulgaria,Europe,1972,70.9,8.5762e-06,6597.494398
Bulgaria,Europe,1977,70.81,8.797022e-06,7612.240438
Bulgaria,Europe,1982,71.08,8.892098e-06,8224.191647
Bulgaria,Europe,1987,71.34,8.971958e-06,8239.854824
Bulgaria,Europe,1992,71.19,8.658506e-06,6302.623438
Bulgaria,Europe,1997,70.32,8.066057000000001e-06,5970.38876
Bulgaria,Europe,2002,72.14,7.661799e-06,7696.777725
Bulgaria,Europe,2007,73.005,7.322858e-06,10680.79282
Burkina Faso,Africa,1952,31.975,4.4699790000000005e-06,543.2552413
Burkina Faso,Africa,1957,34.906,4.713415999999999e-06,617.1834648
Burkina Faso,Africa,1962,37.814,4.919632e-06,722.5120206
Burkina Faso,Africa,1967,40.697,5.1279349999999995e-06,794.8265597
Burkina Faso,Africa,1972,43.591,5.433886e-06,854.7359763
Burkina Faso,Africa,1977,46.137,5.889574e-06,743.3870368
Burkina Faso,Africa,1982,48.122,6.634596e-06,807.1985855
Burkina Faso,Africa,1987,49.557,7.586551e-06,912.0631417
Burkina Faso,Africa,1992,50.26,8.878303000000001e-06,931.7527731
Burkina Faso,Africa,1997,50.324,1.0352843e-05,946.2949618
Burkina Faso,Africa,2002,50.65,1.2251209e-05,1037.645221
Burkina Faso,Africa,2007,52.295,1.4326203e-05,1217.032994
Burundi,Africa,1952,39.031,2.445618e-06,339.2964587
Burundi,Africa,1957,40.533,2.667518e-06,379.5646281
Burundi,Africa,1962,42.045,2.9619149999999997e-06,355.2032273
Burundi,Africa,1967,43.548,3.3309890000000003e-06,412.9775136
Burundi,Africa,1972,44.057,3.5299830000000002e-06,464.0995039
Burundi,Africa,1977,45.91,3.834415e-06,556.1032651
Burundi,Africa,1982,47.471,4.580409999999999e-06,559.603231
Burundi,Africa,1987,48.211,5.126023e-06,621.8188189
Burundi,Africa,1992,44.736,5.809236e-06,631.6998778
Burundi,Africa,1997,45.326,6.121610000000001e-06,463.1151478
Burundi,Africa,2002,47.36,7.021078e-06,446.4035126
Burundi,Africa,2007,49.58,8.390504999999999e-06,430.0706916
Cambodia,Asia,1952,39.417,4.693836e-06,368.4692856
Cambodia,Asia,1957,41.366,5.3225360000000004e-06,434.0383364
Cambodia,Asia,1962,43.415,6.083619e-06,496.9136476
Cambodia,Asia,1967,45.415,6.960066999999999e-06,523.4323142
Cambodia,Asia,1972,40.317,7.450606e-06,421.6240257
Cambodia,Asia,1977,31.22,6.978607e-06,524.9721832
Cambodia,Asia,1982,50.957,7.272485e-06,624.4754784
Cambodia,Asia,1987,53.914,8.371791e-06,683.8955732
Cambodia,Asia,1992,55.803,1.0150094e-05,682.3031755
Cambodia,Asia,1997,56.534,1.1782962e-05,734.28517
Cambodia,Asia,2002,56.752,1.2926707e-05,896.2260153
Cambodia,Asia,2007,59.723,1.4131858e-05,1713.778686
Cameroon,Africa,1952,38.523,5.009067e-06,1172.667655
Cameroon,Africa,1957,40.428,5.3599230000000006e-06,1313.048099
Cameroon,Africa,1962,42.643,5.793633e-06,1399.607441
Cameroon,Africa,1967,44.799,6.3355059999999995e-06,1508.453148
Cameroon,Africa,1972,47.049,7.021028e-06,1684.146528
Cameroon,Africa,1977,49.355,7.959864999999999e-06,1783.432873
Cameroon,Africa,1982,52.961,9.250831e-06,2367.983282
Cameroon,Africa,1987,54.985,1.0780667e-05,2602.664206
Cameroon,Africa,1992,54.314,1.2467171e-05,1793.163278
Cameroon,Africa,1997,52.199,1.4195809e-05,1694.337469
Cameroon,Africa,2002,49.856,1.5929988e-05,1934.011449
Cameroon,Africa,2007,50.43,1.7696293e-05,2042.09524
Canada,Americas,1952,68.75,1.4785584e-05,11367.16112
Canada,Americas,1957,69.96,1.7010154e-05,12489.95006
Canada,Americas,1962,71.3,1.8985849e-05,13462.48555
Canada,Americas,1967,72.13,2.0819767e-05,16076.58803
Canada,Americas,1972,72.88,2.22845e-05,18970.57086
Canada,Americas,1977,74.21,2.3796399999999998e-05,22090.88306
Canada,Americas,1982,75.76,2.52019e-05,22898.79214
Canada,Americas,1987,76.86,2.65497e-05,26626.51503
Canada,Americas,1992,77.95,2.8523502e-05,26342.88426
Canada,Americas,1997,78.61,3.0305842999999998e-05,28954.92589
Canada,Americas,2002,79.77,3.1902268e-05,33328.96507
Canada,Americas,2007,80.653,3.3390141e-05,36319.23501
Central African Republic,Africa,1952,35.463,1.2916950000000001e-06,1071.310713
Central African Republic,Africa,1957,37.464,1.392284e-06,1190.844328
Central African Republic,Africa,1962,39.475,1.5234780000000001e-06,1193.068753
Central African Republic,Africa,1967,41.478,1.733638e-06,1136.056615
Central African Republic,Africa,1972,43.457,1.92726e-06,1070.013275
Central African Republic,Africa,1977,46.775,2.1675330000000003e-06,1109.374338
Central African Republic,Africa,1982,48.295,2.476971e-06,956.7529907
Central African Republic,Africa,1987,50.485,2.840009e-06,844.8763504
Central African Republic,Africa,1992,49.396,3.265124e-06,747.9055252
Central African Republic,Africa,1997,46.066,3.696513e-06,740.5063317
Central African Republic,Africa,2002,43.308,4.048013e-06,738.6906068
Central African Republic,Africa,2007,44.741,4.369038e-06,706.016537
Chad,Africa,1952,38.092,2.682462e-06,1178.665927
Chad,Africa,1957,39.881,2.8948550000000003e-06,1308.495577
Chad,Africa,1962,41.716,3.150417e-06,1389.817618
Chad,Africa,1967,43.601,3.495967e-06,1196.810565
Chad,Africa,1972,45.569,3.8990680000000005e-06,1104.103987
Chad,Africa,1977,47.383,4.38826e-06,1133.98495
Chad,Africa,1982,49.517,4.875117999999999e-06,797.9081006
Chad,Africa,1987,51.051,5.498955e-06,952.386129
Chad,Africa,1992,51.724,6.429417e-06,1058.0643
Chad,Africa,1997,51.573,7.562011e-06,1004.961353
Chad,Africa,2002,50.525,8.835739e-06,1156.18186
Chad,Africa,2007,50.651,1.0238807e-05,1704.063724
Chile,Americas,1952,54.745,6.377619e-06,3939.978789
Chile,Americas,1957,56.074,7.0484260000000004e-06,4315.622723
Chile,Americas,1962,57.924,7.961258e-06,4519.094331
Chile,Americas,1967,60.523,8.858908e-06,5106.654313
Chile,Americas,1972,63.441,9.717523999999999e-06,5494.024437
Chile,Americas,1977,67.052,1.0599793e-05,4756.763836
Chile,Americas,1982,70.565,1.1487112e-05,5095.665738
Chile,Americas,1987,72.492,1.2463354e-05,5547.063754
Chile,Americas,1992,74.126,1.3572993999999999e-05,7596.125964
Chile,Americas,1997,75.816,1.4599929e-05,10118.05318
Chile,Americas,2002,77.86,1.5497046e-05,10778.78385
Chile,Americas,2007,78.553,1.6284741e-05,13171.63885
China,Asia,1952,44.0,0.0005562635269999999,400.448611
China,Asia,1957,50.54896,0.000637408,575.9870009
China,Asia,1962,44.50136,0.00066577,487.6740183
China,Asia,1967,58.38112,0.00075455,612.7056934
China,Asia,1972,63.11888,0.00086203,676.9000921
China,Asia,1977,63.96736,0.000943455,741.2374699
China,Asia,1982,65.525,0.001000281,962.4213805
China,Asia,1987,67.274,0.0010840350000000001,1378.904018
China,Asia,1992,68.69,0.00116497,1655.784158
China,Asia,1997,70.426,0.001230075,2289.234136
China,Asia,2002,72.028,0.0012804000000000001,3119.280896
China,Asia,2007,72.961,0.001318683096,4959.114854
Colombia,Americas,1952,50.643,1.2350771e-05,2144.115096
Colombia,Americas,1957,55.118,1.4485993e-05,2323.805581
Colombia,Americas,1962,57.863,1.7009885e-05,2492.351109
Colombia,Americas,1967,59.963,1.9764027e-05,2678.729839
Colombia,Americas,1972,61.623,2.254289e-05,3264.660041
Colombia,Americas,1977,63.837,2.5094411999999998e-05,3815.80787
Colombia,Americas,1982,66.653,2.7764644000000002e-05,4397.575659
Colombia,Americas,1987,67.768,3.0964245e-05,4903.2191
Colombia,Americas,1992,68.421,3.4202720999999994e-05,5444.648617
Colombia,Americas,1997,70.313,3.765783e-05,6117.361746
Colombia,Americas,2002,71.682,4.1008227e-05,5755.259962
Colombia,Americas,2007,72.889,4.422755e-05,7006.580419
Comoros,Africa,1952,40.715,1.5393599999999998e-07,1102.990936
Comoros,Africa,1957,42.46,1.70928e-07,1211.148548
Comoros,Africa,1962,44.467,1.91689e-07,1406.648278
Comoros,Africa,1967,46.472,2.1737799999999998e-07,1876.029643
Comoros,Africa,1972,48.944,2.50027e-07,1937.577675
Comoros,Africa,1977,50.939,3.04739e-07,1172.603047
Comoros,Africa,1982,52.933,3.48643e-07,1267.100083
Comoros,Africa,1987,54.926,3.95114e-07,1315.980812
Comoros,Africa,1992,57.939,4.5442900000000005e-07,1246.90737
Comoros,Africa,1997,60.66,5.27982e-07,1173.618235
Comoros,Africa,2002,62.974,6.14382e-07,1075.811558
Comoros,Africa,2007,65.152,7.1096e-07,986.1478792
"Congo, Dem. Rep.",Africa,1952,39.143,1.4100005e-05,780.5423257
"Congo, Dem. Rep.",Africa,1957,40.652,1.5577932e-05,905.8602303
"Congo, Dem. Rep.",Africa,1962,42.122,1.7486434e-05,896.3146335
"Congo, Dem. Rep.",Africa,1967,44.056,1.9941073e-05,861.5932424
"Congo, Dem. Rep.",Africa,1972,45.989,2.3007669e-05,904.8960685
"Congo, Dem. Rep.",Africa,1977,47.804,2.648087e-05,795.757282
"Congo, Dem. Rep.",Africa,1982,47.784,3.0646495e-05,673.7478181
"Congo, Dem. Rep.",Africa,1987,47.412,3.5481645e-05,672.774812
"Congo, Dem. Rep.",Africa,1992,45.548,4.1672143e-05,457.7191807
"Congo, Dem. Rep.",Africa,1997,42.587,4.7798986e-05,312.188423
"Congo, Dem. Rep.",Africa,2002,44.966,5.5379852e-05,241.1658765
"Congo, Dem. Rep.",Africa,2007,46.462,6.4606759e-05,277.5518587
